INFO:root:Blob add op (0, 0, 255) + (0, 255, 0) 
INFO:root:Blob add op (0, 0, 255) + (0, 255, 0) 
INFO:root:Blob add op (0, 0, 255) + (0, 255, 0) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (195,225) + Blob of color:(0, 0, 255), size: 7, location: (185,219) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (185,219) + Blob of color:(0, 0, 255), size: 5, location: (195,225) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (196,224) + Blob of color:(0, 0, 255), size: 7, location: (186,220) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (186,220) + Blob of color:(0, 0, 255), size: 5, location: (196,224) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (195,224) + Blob of color:(0, 0, 255), size: 7, location: (187,219) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (187,219) + Blob of color:(0, 0, 255), size: 5, location: (195,224) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (195,225) + Blob of color:(0, 0, 255), size: 7, location: (186,219) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (186,219) + Blob of color:(0, 0, 255), size: 5, location: (195,225) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (194,224) + Blob of color:(0, 0, 255), size: 7, location: (185,219) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (185,219) + Blob of color:(0, 0, 255), size: 5, location: (194,224) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (194,223) + Blob of color:(0, 0, 255), size: 7, location: (186,220) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (186,220) + Blob of color:(0, 0, 255), size: 5, location: (194,223) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (194,222) + Blob of color:(0, 0, 255), size: 7, location: (186,221) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (747,439) + Blob of color:(255, 0, 0), size: 5, location: (753,430) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (186,221) + Blob of color:(0, 0, 255), size: 5, location: (194,222) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (193,221) + Blob of color:(0, 0, 255), size: 7, location: (187,220) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (187,220) + Blob of color:(0, 0, 255), size: 5, location: (193,221) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (192,220) + Blob of color:(0, 0, 255), size: 7, location: (186,220) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (186,220) + Blob of color:(0, 0, 255), size: 5, location: (192,220) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (193,221) + Blob of color:(0, 0, 255), size: 7, location: (187,221) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (187,221) + Blob of color:(0, 0, 255), size: 5, location: (193,221) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (194,222) + Blob of color:(0, 0, 255), size: 7, location: (188,222) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (188,222) + Blob of color:(0, 0, 255), size: 5, location: (194,222) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (195,222) + Blob of color:(0, 0, 255), size: 7, location: (188,222) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (188,222) + Blob of color:(0, 0, 255), size: 5, location: (195,222) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (196,221) + Blob of color:(0, 0, 255), size: 7, location: (189,223) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (189,223) + Blob of color:(0, 0, 255), size: 5, location: (196,221) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (196,220) + Blob of color:(0, 0, 255), size: 7, location: (188,223) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (188,223) + Blob of color:(0, 0, 255), size: 5, location: (196,220) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (197,221) + Blob of color:(0, 0, 255), size: 7, location: (187,224) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (187,224) + Blob of color:(0, 0, 255), size: 5, location: (197,221) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (198,217) + Blob of color:(0, 0, 255), size: 7, location: (188,221) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (188,221) + Blob of color:(0, 0, 255), size: 5, location: (198,217) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (197,218) + Blob of color:(0, 0, 255), size: 7, location: (189,221) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (189,221) + Blob of color:(0, 0, 255), size: 5, location: (197,218) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (197,219) + Blob of color:(0, 0, 255), size: 7, location: (188,220) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (188,220) + Blob of color:(0, 0, 255), size: 5, location: (197,219) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (198,219) + Blob of color:(0, 0, 255), size: 7, location: (189,221) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (189,221) + Blob of color:(0, 0, 255), size: 5, location: (198,219) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (198,219) + Blob of color:(0, 0, 255), size: 7, location: (189,221) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (189,221) + Blob of color:(0, 0, 255), size: 5, location: (198,219) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (199,220) + Blob of color:(0, 0, 255), size: 7, location: (189,222) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (189,222) + Blob of color:(0, 0, 255), size: 5, location: (199,220) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (199,220) + Blob of color:(0, 0, 255), size: 7, location: (190,221) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (190,221) + Blob of color:(0, 0, 255), size: 5, location: (199,220) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (198,219) + Blob of color:(0, 0, 255), size: 7, location: (191,220) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (191,220) + Blob of color:(0, 0, 255), size: 5, location: (198,219) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (197,220) + Blob of color:(0, 0, 255), size: 7, location: (191,220) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (191,220) + Blob of color:(0, 0, 255), size: 5, location: (197,220) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (196,219) + Blob of color:(0, 0, 255), size: 7, location: (192,219) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (192,219) + Blob of color:(0, 0, 255), size: 5, location: (196,219) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (197,219) + Blob of color:(0, 0, 255), size: 7, location: (192,220) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (192,220) + Blob of color:(0, 0, 255), size: 5, location: (197,219) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (196,219) + Blob of color:(0, 0, 255), size: 7, location: (193,221) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (193,221) + Blob of color:(0, 0, 255), size: 5, location: (196,219) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (195,219) + Blob of color:(0, 0, 255), size: 7, location: (193,222) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (193,222) + Blob of color:(0, 0, 255), size: 5, location: (195,219) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (195,220) + Blob of color:(0, 0, 255), size: 7, location: (194,221) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (194,221) + Blob of color:(0, 0, 255), size: 5, location: (195,220) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 5, location: (195,221) + Blob of color:(0, 0, 255), size: 7, location: (194,222) 
INFO:root:Blob add op Blob of color:(0, 0, 255), size: 7, location: (194,222) + Blob of color:(0, 0, 255), size: 5, location: (195,221) 
